County,County_code,Year,Zip,num_tests,under_5_mcg_dL,5_10_mcg_dL,10_15_mcg_dL,over_15_mcg_dL,total_elevated,percent_elevated,rate_per_1000,zip_location,county_location
Lewis,49,2010,13433,24,NA,NA,NA,NA,NA,NA,NA,"(43.588855, -75.279411)","(43.786397, -75.442617)"
Jefferson,45,2011,13612,48,NA,NA,NA,NA,NA,NA,NA,"(44.00621, -75.796688)","(44.0607, -75.9928)"
Herkimer,43,2003,13416,16,NA,NA,0,0,0,0,0,"(43.189629, -75.018362)","(43.1631, -74.8741)"
St. Lawrence,89,2018,13614,6,NA,NA,0,0,0,0,0,"(44.541243, -75.688955)","(44.488113, -75.074311)"
Essex,31,2020,12946,18,18,0,0,0,0,0,0,"(44.281966, -73.988816)","(44.108971, -73.777573)"
Franklin,33,2013,13655,67,NA,NA,0,0,0,0,0,"(44.982946, -74.655861)","(44.594374, -74.31067)"
Warren,113,2010,12843,13,13,0,0,0,0,0,0,"(43.59355, -73.974572)","(43.555105, -73.838139)"
St. Lawrence,89,2004,13662,136,100,33,NA,NA,NA,NA,NA,"(44.91816, -74.93598)","(44.488113, -75.074311)"
Herkimer,43,2019,13439,6,6,0,0,0,0,0,0,"(42.85141, -74.988541)","(43.1631, -74.8741)"
Essex,31,2001,12974,8,NA,NA,0,0,0,0,0,"(44.045341, -73.465362)","(44.108971, -73.777573)"
St. Lawrence,89,2017,13694,21,21,0,0,0,0,0,0,"(44.863217, -75.200794)","(44.488113, -75.074311)"
Clinton,19,2019,12921,22,22,0,0,0,0,0,0,"(44.889987, -73.466593)","(44.75271, -73.705648)"
Clinton,19,2006,12910,20,NA,NA,NA,NA,NA,NA,NA,"(44.882237, -73.662504)","(44.75271, -73.705648)"
Herkimer,43,2011,13329,24,NA,NA,NA,NA,NA,NA,NA,"(43.1037, -74.74098)","(43.1631, -74.8741)"
Warren,113,2015,12845,36,NA,NA,0,0,0,0,0,"(43.41696, -73.6848)","(43.555105, -73.838139)"
St. Lawrence,89,2015,13608,7,7,0,0,0,0,0,0,"(44.198498, -75.607636)","(44.488113, -75.074311)"
Essex,31,2020,12928,15,NA,NA,0,0,0,0,0,"(43.96698, -73.46178)","(44.108971, -73.777573)"
Clinton,19,2000,12985,11,NA,NA,0,0,0,0,0,"(44.57898, -73.71612)","(44.75271, -73.705648)"
St. Lawrence,89,2003,13676,63,NA,NA,0,0,0,0,0,"(44.65482, -74.95554)","(44.488113, -75.074311)"
Jefferson,45,2013,13656,33,NA,NA,0,0,0,0,0,"(44.19102, -75.95556)","(44.0607, -75.9928)"
Clinton,19,2009,12910,15,14,0,NA,NA,NA,NA,NA,"(44.882237, -73.662504)","(44.75271, -73.705648)"
Warren,113,2018,12878,6,6,0,0,0,0,0,0,"(43.426602, -73.962388)","(43.555105, -73.838139)"
Herkimer,43,2000,13407,46,32,14,0,0,0,0,0,"(42.99114, -74.98056)","(43.1631, -74.8741)"
Herkimer,43,2019,13331,7,7,0,0,0,0,0,0,"(43.841882, -74.878424)","(43.1631, -74.8741)"
Franklin,33,2001,12986,19,NA,NA,0,0,0,0,0,"(44.23505, -74.46496)","(44.594374, -74.31067)"
Clinton,19,2010,12981,16,NA,NA,0,0,0,0,0,"(44.679046, -73.824306)","(44.75271, -73.705648)"
Jefferson,45,2020,13616,25,25,0,0,0,0,0,0,"(44.02437, -75.858123)","(44.0607, -75.9928)"
Jefferson,45,2001,13616,9,NA,NA,0,0,0,0,0,"(44.02437, -75.858123)","(44.0607, -75.9928)"
St. Lawrence,89,2012,13694,15,NA,NA,0,0,0,0,0,"(44.863217, -75.200794)","(44.488113, -75.074311)"
Jefferson,45,2018,13637,123,NA,NA,0,0,0,0,0,"(44.090947, -75.804665)","(44.0607, -75.9928)"
Lewis,49,2010,13620,30,NA,NA,0,0,0,0,0,"(43.888863, -75.459474)","(43.786397, -75.442617)"
Jefferson,45,2016,13612,43,NA,NA,NA,NA,NA,NA,NA,"(44.00621, -75.796688)","(44.0607, -75.9928)"
Hamilton,41,2005,12164,6,NA,NA,0,0,0,0,0,"(43.557902, -74.357613)","(43.657879, -74.502456)"
Warren,113,2013,12801,136,126,10,0,0,0,0,0,"(43.3089, -73.6446)","(43.555105, -73.838139)"
Herkimer,43,2000,13324,17,11,6,0,0,0,0,0,"(43.32077, -74.963299)","(43.1631, -74.8741)"
St. Lawrence,89,2006,13667,45,38,7,0,0,0,0,0,"(44.799692, -74.994368)","(44.488113, -75.074311)"
Clinton,19,2018,12959,14,NA,NA,0,0,0,0,0,"(44.965896, -73.694298)","(44.75271, -73.705648)"
Jefferson,45,2013,13665,7,NA,NA,0,0,0,0,0,"(44.099422, -75.476914)","(44.0607, -75.9928)"
Lewis,49,2016,13626,31,NA,NA,0,0,0,0,0,"(43.895883, -75.707121)","(43.786397, -75.442617)"
Jefferson,45,2007,13673,19,NA,NA,0,0,0,0,0,"(44.157023, -75.711455)","(44.0607, -75.9928)"
Warren,113,2006,12817,17,NA,NA,0,0,0,0,0,"(43.63599, -73.803616)","(43.555105, -73.838139)"
Essex,31,2019,12944,21,NA,NA,0,0,0,0,0,"(44.493052, -73.480994)","(44.108971, -73.777573)"
Franklin,33,2012,12957,6,6,0,0,0,0,0,0,"(44.86812, -74.56398)","(44.594374, -74.31067)"
Jefferson,45,2002,13619,70,58,11,NA,NA,NA,NA,NA,"(43.980552, -75.620903)","(44.0607, -75.9928)"
Jefferson,45,2001,13634,21,14,7,0,0,0,0,0,"(44.00616, -76.07107)","(44.0607, -75.9928)"
Herkimer,43,2004,13361,6,6,0,0,0,0,0,0,"(42.89477, -74.81734)","(43.1631, -74.8741)"
Jefferson,45,2019,13608,17,17,0,0,0,0,0,0,"(44.198498, -75.607636)","(44.0607, -75.9928)"
Essex,31,2012,12944,8,NA,NA,0,0,0,0,0,"(44.493052, -73.480994)","(44.108971, -73.777573)"
Jefferson,45,2017,13682,9,NA,NA,0,0,0,0,0,"(43.847382, -75.859853)","(44.0607, -75.9928)"
Clinton,19,2018,12985,6,6,0,0,0,0,0,0,"(44.57898, -73.71612)","(44.75271, -73.705648)"
Franklin,33,2013,12914,9,NA,NA,0,0,0,0,0,"(44.953343, -74.599279)","(44.594374, -74.31067)"
St. Lawrence,89,2011,13625,10,9,0,NA,NA,NA,NA,NA,"(44.538104, -74.928858)","(44.488113, -75.074311)"
Lewis,49,2000,13367,33,23,9,NA,NA,NA,NA,NA,"(43.7871, -75.47691)","(43.786397, -75.442617)"
Warren,113,2016,12814,6,6,0,0,0,0,0,0,"(43.5897, -73.66848)","(43.555105, -73.838139)"
Franklin,33,2000,12986,32,26,6,0,0,0,0,0,"(44.23505, -74.46496)","(44.594374, -74.31067)"
Franklin,33,2009,12920,22,NA,NA,0,0,0,0,0,"(44.92315, -74.082893)","(44.594374, -74.31067)"
St. Lawrence,89,2012,13660,26,NA,NA,0,0,0,0,0,"(44.749316, -75.132378)","(44.488113, -75.074311)"
St. Lawrence,89,2012,13676,129,NA,NA,NA,NA,NA,NA,NA,"(44.65482, -74.95554)","(44.488113, -75.074311)"
Warren,113,2011,12846,12,12,0,0,0,0,0,0,"(43.32678, -73.82022)","(43.555105, -73.838139)"
Warren,113,2012,12885,28,28,0,0,0,0,0,0,"(43.500656, -73.787701)","(43.555105, -73.838139)"
Herkimer,43,2006,13365,101,65,35,NA,NA,NA,NA,NA,"(43.08642, -74.904)","(43.1631, -74.8741)"
St. Lawrence,89,2006,13690,7,NA,NA,0,0,0,0,0,"(44.153984, -75.02951)","(44.488113, -75.074311)"
St. Lawrence,89,2008,13654,6,NA,NA,0,0,0,0,0,"(44.5821, -75.44016)","(44.488113, -75.074311)"
St. Lawrence,89,2000,13690,8,7,0,NA,NA,NA,NA,NA,"(44.153984, -75.02951)","(44.488113, -75.074311)"
Lewis,49,2013,13620,28,NA,NA,NA,NA,NA,NA,NA,"(43.888863, -75.459474)","(43.786397, -75.442617)"
Essex,31,2008,12983,18,NA,NA,0,0,0,0,0,"(44.31672, -74.13354)","(44.108971, -73.777573)"
Lewis,49,2011,13367,82,71,6,NA,NA,NA,NA,NA,"(43.7871, -75.47691)","(43.786397, -75.442617)"
Clinton,19,2009,12955,6,6,0,0,0,0,0,0,"(44.793668, -73.965388)","(44.75271, -73.705648)"
Jefferson,45,2006,13634,35,33,0,NA,NA,NA,NA,NA,"(44.00616, -76.07107)","(44.0607, -75.9928)"
Jefferson,45,2014,13691,35,NA,NA,0,0,0,0,0,"(44.197024, -75.7963)","(44.0607, -75.9928)"
St. Lawrence,89,2018,13613,17,17,0,0,0,0,0,0,"(44.860326, -74.725235)","(44.488113, -75.074311)"
St. Lawrence,89,2007,13635,8,NA,NA,0,0,0,0,0,"(44.30802, -75.25608)","(44.488113, -75.074311)"
Herkimer,43,2001,13491,9,NA,NA,0,0,0,0,0,"(42.881365, -75.189026)","(43.1631, -74.8741)"
Herkimer,43,2012,13491,15,14,0,NA,NA,NA,NA,NA,"(42.881365, -75.189026)","(43.1631, -74.8741)"
Clinton,19,2017,12959,12,12,0,0,0,0,0,0,"(44.965896, -73.694298)","(44.75271, -73.705648)"
St. Lawrence,89,2012,13630,17,NA,NA,0,0,0,0,0,"(44.483181, -75.298577)","(44.488113, -75.074311)"
Essex,31,2017,12998,9,NA,NA,NA,NA,NA,NA,NA,"(44.086571, -73.536128)","(44.108971, -73.777573)"
Franklin,33,2015,12986,53,NA,NA,0,0,0,0,0,"(44.23505, -74.46496)","(44.594374, -74.31067)"
Franklin,33,2015,12917,12,NA,NA,0,0,0,0,0,"(44.926563, -74.176701)","(44.594374, -74.31067)"
Jefferson,45,2017,13673,36,NA,NA,0,0,0,0,0,"(44.157023, -75.711455)","(44.0607, -75.9928)"
Herkimer,43,2005,13407,40,29,10,NA,NA,NA,NA,NA,"(42.99114, -74.98056)","(43.1631, -74.8741)"
Lewis,49,2020,13309,9,9,0,0,0,0,0,0,"(43.45308, -75.336)","(43.786397, -75.442617)"
St. Lawrence,89,2013,13667,36,35,0,NA,NA,NA,NA,NA,"(44.799692, -74.994368)","(44.488113, -75.074311)"
Lewis,49,2017,13368,10,9,0,NA,NA,NA,NA,NA,"(43.63092, -75.34848)","(43.786397, -75.442617)"
Hamilton,41,2020,12842,8,NA,NA,0,0,0,0,0,"(43.746756, -74.262085)","(43.657879, -74.502456)"
St. Lawrence,89,2015,13670,7,7,0,0,0,0,0,0,"(44.179515, -75.082431)","(44.488113, -75.074311)"
Herkimer,43,2008,13502,11,NA,NA,0,0,0,0,0,"(43.12746, -75.21426)","(43.1631, -74.8741)"
Jefferson,45,2005,13612,22,NA,NA,0,0,0,0,0,"(44.00621, -75.796688)","(44.0607, -75.9928)"
Herkimer,43,2016,13339,7,NA,NA,NA,NA,NA,NA,NA,"(42.95874, -74.57826)","(43.1631, -74.8741)"
Jefferson,45,2012,13618,16,NA,NA,0,0,0,0,0,"(44.130167, -76.32961)","(44.0607, -75.9928)"
Lewis,49,2015,13325,12,NA,NA,NA,NA,NA,NA,NA,"(43.577189, -75.564678)","(43.786397, -75.442617)"
Franklin,33,2000,12926,9,NA,NA,NA,NA,NA,NA,NA,"(44.94762, -74.3373)","(44.594374, -74.31067)"
Essex,31,2018,12932,10,10,0,0,0,0,0,0,"(44.226627, -73.624732)","(44.108971, -73.777573)"
Clinton,19,2002,12959,6,NA,NA,0,0,0,0,0,"(44.965896, -73.694298)","(44.75271, -73.705648)"
Herkimer,43,2010,13407,39,NA,NA,NA,NA,NA,NA,NA,"(42.99114, -74.98056)","(43.1631, -74.8741)"
St. Lawrence,89,2018,13669,146,130,11,NA,NA,NA,NA,NA,"(44.66628, -75.49944)","(44.488113, -75.074311)"
Essex,31,2009,12941,6,6,0,0,0,0,0,0,"(44.353596, -73.71053)","(44.108971, -73.777573)"
Jefferson,45,2002,13622,16,NA,NA,0,0,0,0,0,"(44.064254, -76.129074)","(44.0607, -75.9928)"
St. Lawrence,89,2014,13662,135,NA,NA,NA,NA,NA,NA,NA,"(44.91816, -74.93598)","(44.488113, -75.074311)"
Warren,113,2018,12817,20,NA,NA,0,0,0,0,0,"(43.63599, -73.803616)","(43.555105, -73.838139)"
Herkimer,43,2013,13416,14,13,0,NA,NA,NA,NA,NA,"(43.189629, -75.018362)","(43.1631, -74.8741)"
Lewis,49,2016,13619,23,NA,NA,0,0,0,0,0,"(43.980552, -75.620903)","(43.786397, -75.442617)"
Jefferson,45,2004,13606,16,NA,NA,0,0,0,0,0,"(43.858497, -76.009224)","(44.0607, -75.9928)"
St. Lawrence,89,2016,13660,17,17,0,0,0,0,0,0,"(44.749316, -75.132378)","(44.488113, -75.074311)"
St. Lawrence,89,2007,13646,22,16,6,0,0,0,0,0,"(44.4501, -75.6864)","(44.488113, -75.074311)"
Franklin,33,2005,12916,22,15,7,0,0,0,0,0,"(44.827852, -74.530013)","(44.594374, -74.31067)"
Clinton,19,2005,12919,32,NA,NA,NA,NA,NA,NA,NA,"(44.96514, -73.4343)","(44.75271, -73.705648)"
Jefferson,45,2018,13685,36,36,0,0,0,0,0,0,"(43.943471, -76.111664)","(44.0607, -75.9928)"
St. Lawrence,89,2007,13668,30,24,6,0,0,0,0,0,"(44.76282, -74.99124)","(44.488113, -75.074311)"
St. Lawrence,89,2003,13697,10,NA,NA,0,0,0,0,0,"(44.745875, -74.805347)","(44.488113, -75.074311)"
Herkimer,43,2010,13340,69,NA,NA,NA,NA,NA,NA,NA,"(43.040165, -75.082322)","(43.1631, -74.8741)"
Warren,113,2001,12853,11,NA,NA,0,0,0,0,0,"(43.721592, -73.920875)","(43.555105, -73.838139)"
Herkimer,43,2016,13340,78,NA,NA,NA,NA,NA,NA,NA,"(43.040165, -75.082322)","(43.1631, -74.8741)"
Hamilton,41,2017,12190,7,7,0,0,0,0,0,0,"(43.475882, -74.270426)","(43.657879, -74.502456)"
Jefferson,45,2002,13624,27,NA,NA,0,0,0,0,0,"(44.239325, -76.08045)","(44.0607, -75.9928)"
Jefferson,45,2008,13605,51,42,8,NA,NA,NA,NA,NA,"(43.8231, -76.03686)","(44.0607, -75.9928)"
Herkimer,43,2014,13439,11,11,0,0,0,0,0,0,"(42.85141, -74.988541)","(43.1631, -74.8741)"
Franklin,33,2019,12916,21,21,0,0,0,0,0,0,"(44.827852, -74.530013)","(44.594374, -74.31067)"
Franklin,33,2002,13655,22,NA,NA,0,0,0,0,0,"(44.982946, -74.655861)","(44.594374, -74.31067)"
St. Lawrence,89,2016,13658,23,22,0,NA,NA,NA,NA,NA,"(44.725973, -75.323276)","(44.488113, -75.074311)"
St. Lawrence,89,2005,13630,8,NA,NA,0,0,0,0,0,"(44.483181, -75.298577)","(44.488113, -75.074311)"
Essex,31,2005,12993,7,NA,NA,0,0,0,0,0,"(44.229722, -73.460833)","(44.108971, -73.777573)"
Warren,113,2015,12804,266,NA,NA,0,0,0,0,0,"(43.37136, -73.6761)","(43.555105, -73.838139)"
Clinton,19,2006,12958,11,10,0,NA,NA,NA,NA,NA,"(44.961265, -73.581139)","(44.75271, -73.705648)"
Clinton,19,2014,12979,31,NA,NA,0,0,0,0,0,"(44.990534, -73.367171)","(44.75271, -73.705648)"
Herkimer,43,2006,13357,128,99,23,NA,NA,6,0.047,47,"(43.012843, -75.045183)","(43.1631, -74.8741)"
St. Lawrence,89,2000,13642,13,NA,NA,NA,NA,NA,NA,NA,"(44.30244, -75.41568)","(44.488113, -75.074311)"
Herkimer,43,2000,13357,99,83,16,0,0,0,0,0,"(43.012843, -75.045183)","(43.1631, -74.8741)"
Warren,113,2017,12801,162,149,11,NA,NA,NA,NA,NA,"(43.3089, -73.6446)","(43.555105, -73.838139)"
St. Lawrence,89,2001,13658,7,NA,NA,0,0,0,0,0,"(44.725973, -75.323276)","(44.488113, -75.074311)"
St. Lawrence,89,2015,12965,7,NA,NA,0,0,0,0,0,"(44.705556, -74.715278)","(44.488113, -75.074311)"
Essex,31,2002,12883,38,NA,NA,0,0,0,0,0,"(43.843857, -73.431459)","(44.108971, -73.777573)"
Jefferson,45,2019,13606,26,NA,NA,0,0,0,0,0,"(43.858497, -76.009224)","(44.0607, -75.9928)"
Herkimer,43,2018,13416,25,NA,NA,0,0,0,0,0,"(43.189629, -75.018362)","(43.1631, -74.8741)"
Clinton,19,2020,12958,28,28,0,0,0,0,0,0,"(44.961265, -73.581139)","(44.75271, -73.705648)"
Clinton,19,2007,12934,7,6,0,NA,NA,NA,NA,NA,"(44.829883, -73.859154)","(44.75271, -73.705648)"
Franklin,33,2004,12983,38,27,11,0,0,0,0,0,"(44.31672, -74.13354)","(44.594374, -74.31067)"
Jefferson,45,2012,13622,24,NA,NA,0,0,0,0,0,"(44.064254, -76.129074)","(44.0607, -75.9928)"
Warren,113,2017,12885,37,NA,NA,0,0,0,0,0,"(43.500656, -73.787701)","(43.555105, -73.838139)"
Jefferson,45,2012,13661,23,NA,NA,0,0,0,0,0,"(43.709861, -76.079638)","(44.0607, -75.9928)"
Jefferson,45,2013,13679,14,14,0,0,0,0,0,0,"(44.304223, -75.80961)","(44.0607, -75.9928)"
Franklin,33,2008,12953,105,94,11,0,0,0,0,0,"(44.845371, -74.269912)","(44.594374, -74.31067)"
Herkimer,43,2020,13431,17,NA,NA,0,0,0,0,0,"(43.2051, -75.0726)","(43.1631, -74.8741)"
Clinton,19,2018,12934,8,8,0,0,0,0,0,0,"(44.829883, -73.859154)","(44.75271, -73.705648)"
Essex,31,2005,12956,6,NA,NA,0,0,0,0,0,"(44.078155, -73.517787)","(44.108971, -73.777573)"
Clinton,19,2006,12935,14,NA,NA,0,0,0,0,0,"(44.9268, -73.80012)","(44.75271, -73.705648)"
Herkimer,43,2020,13407,35,34,0,NA,NA,NA,NA,NA,"(42.99114, -74.98056)","(43.1631, -74.8741)"
Clinton,19,2008,12901,250,NA,NA,NA,NA,NA,NA,NA,"(44.72796, -73.4631)","(44.75271, -73.705648)"
St. Lawrence,89,2011,13697,14,NA,NA,0,0,0,0,0,"(44.745875, -74.805347)","(44.488113, -75.074311)"
Franklin,33,2003,12966,17,17,0,0,0,0,0,0,"(44.81898, -74.415)","(44.594374, -74.31067)"
Lewis,49,2009,13343,20,NA,NA,0,0,0,0,0,"(43.73778, -75.3279)","(43.786397, -75.442617)"
Jefferson,45,2008,13656,30,NA,NA,NA,NA,NA,NA,NA,"(44.19102, -75.95556)","(44.0607, -75.9928)"
St. Lawrence,89,2016,13617,55,54,0,NA,NA,NA,NA,NA,"(44.58378, -75.14382)","(44.488113, -75.074311)"
Warren,113,2007,12853,15,NA,NA,0,0,0,0,0,"(43.721592, -73.920875)","(43.555105, -73.838139)"
St. Lawrence,89,2003,13681,12,NA,NA,0,0,0,0,0,"(44.412057, -75.390018)","(44.488113, -75.074311)"
Herkimer,43,2010,13350,80,68,9,NA,NA,NA,NA,NA,"(43.030105, -74.984973)","(43.1631, -74.8741)"
Lewis,49,2017,13619,21,21,0,0,0,0,0,0,"(43.980552, -75.620903)","(43.786397, -75.442617)"
Essex,31,2009,12913,10,10,0,0,0,0,0,0,"(44.398502, -74.070744)","(44.108971, -73.777573)"
Clinton,19,2015,12962,65,64,0,NA,NA,NA,NA,NA,"(44.70354, -73.57572)","(44.75271, -73.705648)"
Franklin,33,2017,13655,30,NA,NA,0,0,0,0,0,"(44.982946, -74.655861)","(44.594374, -74.31067)"
Clinton,19,2019,12912,13,13,0,0,0,0,0,0,"(44.459424, -73.713927)","(44.75271, -73.705648)"
Franklin,33,2018,12966,31,NA,NA,0,0,0,0,0,"(44.81898, -74.415)","(44.594374, -74.31067)"
Jefferson,45,2019,13603,345,NA,NA,0,0,0,0,0,"(44.04216, -75.79152)","(44.0607, -75.9928)"
Essex,31,2007,12883,26,NA,NA,0,0,0,0,0,"(43.843857, -73.431459)","(44.108971, -73.777573)"
Clinton,19,2002,12921,19,19,0,0,0,0,0,0,"(44.889987, -73.466593)","(44.75271, -73.705648)"
Warren,113,2007,12815,8,NA,NA,0,0,0,0,0,"(43.67155, -73.76924)","(43.555105, -73.838139)"
St. Lawrence,89,2020,13642,84,NA,NA,NA,NA,NA,NA,NA,"(44.30244, -75.41568)","(44.488113, -75.074311)"
St. Lawrence,89,2018,13646,20,NA,NA,NA,NA,NA,NA,NA,"(44.4501, -75.6864)","(44.488113, -75.074311)"
St. Lawrence,89,2018,13697,16,16,0,0,0,0,0,0,"(44.745875, -74.805347)","(44.488113, -75.074311)"
Essex,31,2015,12997,9,9,0,0,0,0,0,0,"(44.388992, -73.8437)","(44.108971, -73.777573)"
Clinton,19,2016,12935,21,21,0,0,0,0,0,0,"(44.9268, -73.80012)","(44.75271, -73.705648)"
St. Lawrence,89,2020,13646,12,NA,NA,0,0,0,0,0,"(44.4501, -75.6864)","(44.488113, -75.074311)"
Clinton,19,2003,12901,254,226,26,NA,NA,NA,NA,NA,"(44.72796, -73.4631)","(44.75271, -73.705648)"
Lewis,49,2019,13648,9,NA,NA,0,0,0,0,0,"(44.20218, -75.29706)","(43.786397, -75.442617)"
Jefferson,45,2009,13606,26,NA,NA,0,0,0,0,0,"(43.858497, -76.009224)","(44.0607, -75.9928)"
Warren,113,2009,12845,29,NA,NA,NA,NA,NA,NA,NA,"(43.41696, -73.6848)","(43.555105, -73.838139)"
Essex,31,2014,12950,11,11,0,0,0,0,0,0,"(44.314607, -73.582276)","(44.108971, -73.777573)"
Lewis,49,2005,13489,7,NA,NA,0,0,0,0,0,"(43.473901, -75.53277)","(43.786397, -75.442617)"
Jefferson,45,2011,13603,430,NA,NA,0,0,0,0,0,"(44.04216, -75.79152)","(44.0607, -75.9928)"
St. Lawrence,89,2014,13625,14,NA,NA,0,0,0,0,0,"(44.538104, -74.928858)","(44.488113, -75.074311)"
Clinton,19,2018,12901,274,NA,NA,NA,NA,NA,NA,NA,"(44.72796, -73.4631)","(44.75271, -73.705648)"
Clinton,19,2007,12962,50,50,0,0,0,0,0,0,"(44.70354, -73.57572)","(44.75271, -73.705648)"
Franklin,33,2009,13655,40,NA,NA,0,0,0,0,0,"(44.982946, -74.655861)","(44.594374, -74.31067)"
Essex,31,2018,12974,19,NA,NA,NA,NA,NA,NA,NA,"(44.045341, -73.465362)","(44.108971, -73.777573)"
Warren,113,2011,12845,9,9,0,0,0,0,0,0,"(43.41696, -73.6848)","(43.555105, -73.838139)"
Clinton,19,2013,12923,8,NA,NA,0,0,0,0,0,"(44.952809, -73.933845)","(44.75271, -73.705648)"
Jefferson,45,2008,13601,455,373,75,NA,NA,7,0.015,15,"(43.98444, -75.90054)","(44.0607, -75.9928)"
Clinton,19,2004,12985,14,NA,NA,0,0,0,0,0,"(44.57898, -73.71612)","(44.75271, -73.705648)"
Clinton,19,2009,12944,12,12,0,0,0,0,0,0,"(44.493052, -73.480994)","(44.75271, -73.705648)"
Herkimer,43,2013,13431,16,NA,NA,0,0,0,0,0,"(43.2051, -75.0726)","(43.1631, -74.8741)"
Clinton,19,2015,12992,72,72,0,0,0,0,0,0,"(44.78096, -73.505322)","(44.75271, -73.705648)"
Franklin,33,2018,12980,11,11,0,0,0,0,0,0,"(44.656564, -74.564467)","(44.594374, -74.31067)"
Jefferson,45,2006,13650,13,NA,NA,0,0,0,0,0,"(43.849649, -76.228306)","(44.0607, -75.9928)"
Warren,113,2007,12846,36,29,7,0,0,0,0,0,"(43.32678, -73.82022)","(43.555105, -73.838139)"
Essex,31,2005,12974,18,NA,NA,0,0,0,0,0,"(44.045341, -73.465362)","(44.108971, -73.777573)"
Franklin,33,2018,12937,10,10,0,0,0,0,0,0,"(44.956408, -74.489215)","(44.594374, -74.31067)"
Jefferson,45,2018,13602,115,115,0,0,0,0,0,0,"(44.054057, -75.750531)","(44.0607, -75.9928)"
Franklin,33,2017,12957,17,17,0,0,0,0,0,0,"(44.86812, -74.56398)","(44.594374, -74.31067)"
Herkimer,43,2014,13502,24,23,0,NA,NA,NA,NA,NA,"(43.12746, -75.21426)","(43.1631, -74.8741)"
Clinton,19,2018,12919,43,43,0,0,0,0,0,0,"(44.96514, -73.4343)","(44.75271, -73.705648)"
Jefferson,45,2016,13616,38,NA,NA,0,0,0,0,0,"(44.02437, -75.858123)","(44.0607, -75.9928)"
Essex,31,2009,12998,10,10,0,0,0,0,0,0,"(44.086571, -73.536128)","(44.108971, -73.777573)"
Warren,113,2003,12817,14,NA,NA,0,0,0,0,0,"(43.63599, -73.803616)","(43.555105, -73.838139)"
Herkimer,43,2008,13431,8,8,0,0,0,0,0,0,"(43.2051, -75.0726)","(43.1631, -74.8741)"
Essex,31,2003,12946,12,NA,NA,0,0,0,0,0,"(44.281966, -73.988816)","(44.108971, -73.777573)"
Herkimer,43,2020,13502,13,13,0,0,0,0,0,0,"(43.12746, -75.21426)","(43.1631, -74.8741)"
Lewis,49,2011,13626,24,NA,NA,0,0,0,0,0,"(43.895883, -75.707121)","(43.786397, -75.442617)"
Herkimer,43,2010,13357,93,74,15,NA,NA,NA,NA,NA,"(43.012843, -75.045183)","(43.1631, -74.8741)"
Jefferson,45,2013,13624,30,NA,NA,0,0,0,0,0,"(44.239325, -76.08045)","(44.0607, -75.9928)"
Jefferson,45,2014,13603,397,NA,NA,0,0,0,0,0,"(44.04216, -75.79152)","(44.0607, -75.9928)"
Clinton,19,2000,12944,16,NA,NA,0,0,0,0,0,"(44.493052, -73.480994)","(44.75271, -73.705648)"
Essex,31,2006,12870,10,NA,NA,0,0,0,0,0,"(43.8396, -73.76022)","(44.108971, -73.777573)"
St. Lawrence,89,2016,13676,77,NA,NA,NA,NA,NA,NA,NA,"(44.65482, -74.95554)","(44.488113, -75.074311)"
Clinton,19,2001,12992,53,NA,NA,0,0,0,0,0,"(44.78096, -73.505322)","(44.75271, -73.705648)"
Clinton,19,2020,12903,8,8,0,0,0,0,0,0,"(44.707491, -73.475457)","(44.75271, -73.705648)"
Franklin,33,2015,12966,30,NA,NA,0,0,0,0,0,"(44.81898, -74.415)","(44.594374, -74.31067)"
Clinton,19,2012,12944,6,6,0,0,0,0,0,0,"(44.493052, -73.480994)","(44.75271, -73.705648)"
Essex,31,2013,12913,8,8,0,0,0,0,0,0,"(44.398502, -74.070744)","(44.108971, -73.777573)"
Jefferson,45,2015,13608,17,NA,NA,NA,NA,NA,NA,NA,"(44.198498, -75.607636)","(44.0607, -75.9928)"
Herkimer,43,2000,13365,78,42,32,NA,NA,NA,NA,NA,"(43.08642, -74.904)","(43.1631, -74.8741)"
St. Lawrence,89,2017,13668,26,NA,NA,0,0,0,0,0,"(44.76282, -74.99124)","(44.488113, -75.074311)"
Franklin,33,2012,12953,25,NA,NA,0,0,0,0,0,"(44.845371, -74.269912)","(44.594374, -74.31067)"
Jefferson,45,2006,13619,60,49,11,0,0,0,0,0,"(43.980552, -75.620903)","(44.0607, -75.9928)"
Jefferson,45,2003,13673,15,NA,NA,0,0,0,0,0,"(44.157023, -75.711455)","(44.0607, -75.9928)"
Herkimer,43,2008,13416,27,NA,NA,0,0,0,0,0,"(43.189629, -75.018362)","(43.1631, -74.8741)"
Herkimer,43,2000,13361,11,NA,NA,0,0,0,0,0,"(42.89477, -74.81734)","(43.1631, -74.8741)"
St. Lawrence,89,2012,13658,11,NA,NA,0,0,0,0,0,"(44.725973, -75.323276)","(44.488113, -75.074311)"
Herkimer,43,2017,13324,17,NA,NA,0,0,0,0,0,"(43.32077, -74.963299)","(43.1631, -74.8741)"
Jefferson,45,2008,13634,28,NA,NA,0,0,0,0,0,"(44.00616, -76.07107)","(44.0607, -75.9928)"
Franklin,33,2004,12920,16,10,6,0,0,0,0,0,"(44.92315, -74.082893)","(44.594374, -74.31067)"
St. Lawrence,89,2005,13694,10,NA,NA,0,0,0,0,0,"(44.863217, -75.200794)","(44.488113, -75.074311)"
